T, time, time_on_pso, time_on_solver, status
2.763,0.260,0.070,0.190,-5
2.200,0.097,0.069,0.028,0
2.199,0.109,0.071,0.038,0
2.507,0.099,0.070,0.029,0
2.156,0.102,0.070,0.032,0
1.551,0.105,0.070,0.035,0
2.272,0.104,0.070,0.034,0
2.308,0.101,0.070,0.031,0
2.890,0.183,0.070,0.113,0
2.900,0.105,0.070,0.035,0
2.870,0.122,0.070,0.052,-5
2.950,0.103,0.071,0.032,0
2.934,0.662,0.070,0.592,-5
2.964,0.101,0.071,0.030,0
2.434,0.106,0.070,0.036,0
2.403,0.119,0.069,0.050,0
2.573,0.097,0.070,0.027,0
2.911,0.213,0.070,0.143,0
2.709,0.099,0.070,0.029,0
2.217,0.097,0.070,0.027,0
2.545,0.106,0.070,0.036,0
2.742,0.112,0.070,0.042,0
2.735,0.105,0.070,0.035,0
5.070,0.138,0.070,0.068,-5
2.111,0.104,0.071,0.033,0
2.671,0.108,0.070,0.038,0
2.669,0.116,0.070,0.046,0
2.824,0.105,0.070,0.035,0
2.030,0.109,0.070,0.039,0
4.897,0.665,0.070,0.595,-5
2.787,0.108,0.070,0.038,0
2.258,0.108,0.070,0.038,0
7.143,0.091,0.070,0.021,-5
1.731,0.103,0.069,0.034,0
2.966,0.118,0.070,0.048,-5
2.326,0.115,0.070,0.045,0
2.414,0.104,0.071,0.033,0
2.262,0.104,0.070,0.034,0
2.946,0.105,0.071,0.034,0
2.242,0.097,0.070,0.027,0
2.652,0.206,0.070,0.136,0
2.321,0.189,0.070,0.119,0
2.246,0.099,0.072,0.027,0
2.733,0.112,0.070,0.042,0
2.865,0.232,0.070,0.162,0
2.479,0.100,0.071,0.029,0
2.530,0.104,0.071,0.033,0
2.476,0.120,0.070,0.050,0
2.265,0.107,0.071,0.036,0
2.724,0.106,0.071,0.035,0
1.841,0.109,0.070,0.039,0
2.114,0.100,0.070,0.030,0
2.692,0.091,0.070,0.021,0
2.539,0.104,0.070,0.034,0
2.902,0.191,0.071,0.120,-5
2.449,0.111,0.070,0.041,0
2.414,0.221,0.070,0.151,0
2.431,0.265,0.071,0.194,-5
1.977,0.213,0.071,0.142,-5
3.005,0.104,0.071,0.033,0
2.668,0.318,0.071,0.247,-5
1.829,0.112,0.071,0.041,0
5.306,0.679,0.072,0.607,-5
2.730,0.099,0.073,0.026,0
2.268,0.100,0.070,0.030,0
2.829,0.126,0.071,0.055,-5
2.450,0.108,0.071,0.037,0
2.388,0.108,0.070,0.038,0
1.837,0.229,0.070,0.159,0
2.456,0.190,0.070,0.120,-5
2.732,0.195,0.070,0.125,0
2.958,0.131,0.070,0.061,0
2.481,0.241,0.069,0.172,-5
2.693,0.101,0.070,0.031,0
2.388,0.109,0.073,0.036,0
2.570,0.113,0.074,0.039,0
2.602,0.112,0.072,0.040,0
2.375,0.194,0.072,0.122,0
2.419,0.096,0.070,0.026,0
1.993,0.213,0.070,0.143,0
2.519,0.102,0.072,0.030,0
2.510,0.105,0.071,0.034,0
2.681,0.104,0.071,0.033,0
2.018,0.107,0.070,0.037,0
2.916,0.150,0.070,0.080,-5
2.584,0.249,0.073,0.176,-5
2.625,0.245,0.070,0.175,-5
2.556,0.102,0.070,0.032,0
2.455,0.106,0.070,0.036,0
2.331,0.109,0.070,0.039,0
2.637,0.109,0.070,0.039,0
2.300,0.103,0.070,0.033,0
2.959,0.651,0.070,0.581,-5
2.430,0.101,0.070,0.031,0
2.662,0.104,0.070,0.034,0
7.034,0.085,0.070,0.015,-5
2.030,0.099,0.069,0.030,0
2.390,0.098,0.070,0.028,0
2.926,0.125,0.070,0.055,-5
2.812,0.110,0.070,0.040,0
2.497,0.104,0.072,0.032,0
2.694,0.109,0.070,0.039,0
2.112,0.108,0.070,0.038,0
2.724,0.098,0.070,0.028,0
2.410,0.157,0.086,0.071,-5
2.583,0.105,0.073,0.032,0
2.741,0.113,0.073,0.040,0
2.808,0.147,0.070,0.077,-5
2.250,0.089,0.070,0.019,0
2.291,0.100,0.069,0.031,0
2.044,0.112,0.070,0.042,0
2.271,0.092,0.070,0.022,0
2.554,0.108,0.070,0.038,0
2.087,0.233,0.073,0.160,-5
2.601,0.107,0.071,0.036,0
2.770,0.106,0.072,0.034,0
2.788,0.274,0.070,0.204,-5
2.417,0.104,0.070,0.034,0
2.865,0.107,0.070,0.037,0
2.485,0.297,0.070,0.227,-5
2.651,0.107,0.070,0.037,0
7.053,0.128,0.070,0.058,-5
2.097,0.099,0.069,0.030,0
5.382,0.233,0.067,0.166,-5
1.570,0.108,0.069,0.039,0
3.091,0.133,0.070,0.063,0
