T, time, time_on_pso, time_on_solver, status
2.685,0.092,0.070,0.022,0
1.843,0.105,0.068,0.037,0
2.140,0.103,0.070,0.033,0
3.001,0.197,0.071,0.126,0
2.613,0.135,0.075,0.060,0
2.254,0.144,0.080,0.064,0
2.747,0.268,0.074,0.194,-5
1.481,0.103,0.069,0.034,0
2.566,0.151,0.069,0.082,-5
2.436,0.117,0.071,0.046,0
2.187,0.193,0.075,0.118,0
2.339,0.109,0.076,0.033,0
2.965,0.159,0.070,0.089,-5
2.591,0.144,0.072,0.072,-5
1.904,0.097,0.069,0.028,0
2.760,0.137,0.072,0.065,0
2.843,0.364,0.079,0.285,-5
2.295,0.111,0.075,0.036,0
2.803,0.097,0.069,0.028,0
1.336,0.211,0.070,0.141,-5
2.734,0.164,0.071,0.093,-5
1.729,0.102,0.072,0.030,0
2.844,0.139,0.070,0.069,0
2.971,0.128,0.073,0.055,0
2.801,0.143,0.073,0.070,0
2.640,0.107,0.072,0.035,0
2.210,0.108,0.073,0.035,0
2.212,0.284,0.070,0.214,0
2.331,0.196,0.068,0.128,0
2.038,0.106,0.070,0.036,0
2.241,0.098,0.070,0.028,0
2.762,0.107,0.070,0.037,0
2.799,0.103,0.070,0.033,0
2.438,0.093,0.069,0.024,0
2.861,0.106,0.070,0.036,0
2.914,0.336,0.070,0.266,-5
2.481,0.100,0.071,0.029,0
2.478,0.118,0.070,0.048,0
1.182,0.100,0.069,0.031,0
2.568,0.093,0.068,0.025,0
2.723,0.141,0.068,0.073,-5
2.944,0.123,0.070,0.053,-5
2.402,0.103,0.068,0.035,0
1.877,0.098,0.068,0.030,0
0.000,0.084,0.068,0.016,-5
1.857,0.105,0.069,0.036,0
2.611,0.107,0.068,0.039,0
2.395,0.091,0.068,0.023,0
2.605,0.136,0.067,0.069,-5
1.933,0.098,0.068,0.030,0
1.797,0.105,0.069,0.036,0
2.694,0.108,0.070,0.038,0
2.610,0.103,0.068,0.035,0
1.956,0.094,0.068,0.026,0
2.526,0.098,0.068,0.030,0
2.306,0.098,0.068,0.030,0
2.457,0.262,0.068,0.194,0
2.257,0.093,0.069,0.024,0
3.032,0.140,0.068,0.072,-5
2.559,0.093,0.068,0.025,0
2.348,0.092,0.068,0.024,0
2.674,0.225,0.067,0.158,0
1.880,0.141,0.072,0.069,0
2.174,0.130,0.071,0.059,0
2.608,0.425,0.074,0.351,0
3.301,0.218,0.076,0.142,0
1.901,0.116,0.075,0.041,0
2.846,0.135,0.076,0.059,0
2.782,0.119,0.075,0.044,0
2.493,0.116,0.074,0.042,0
2.469,0.103,0.074,0.029,0
2.329,0.090,0.071,0.019,0
2.744,0.102,0.070,0.032,0
2.901,0.112,0.069,0.043,0
2.210,0.104,0.070,0.034,0
2.502,0.107,0.071,0.036,0
2.501,0.132,0.072,0.060,-5
1.665,0.107,0.071,0.036,0
2.132,0.106,0.068,0.038,0
2.778,0.158,0.067,0.091,-5
2.820,0.112,0.069,0.043,0
2.411,0.125,0.070,0.055,0
1.104,0.122,0.071,0.051,0
2.273,0.116,0.073,0.043,0
2.452,0.126,0.073,0.053,0
2.135,0.108,0.069,0.039,0
2.795,0.151,0.070,0.081,0
2.900,0.145,0.072,0.073,-5
1.908,0.106,0.073,0.033,0
2.614,0.116,0.072,0.044,0
2.445,0.111,0.072,0.039,0
2.520,0.102,0.072,0.030,0
2.487,0.110,0.073,0.037,0
2.875,0.214,0.069,0.145,-5
1.403,0.194,0.070,0.124,-5
2.637,0.105,0.071,0.034,0
2.442,0.104,0.069,0.035,0
2.772,0.110,0.070,0.040,0
1.638,0.116,0.069,0.047,0
2.701,0.101,0.070,0.031,0
2.921,0.128,0.077,0.051,0
1.641,0.122,0.074,0.048,0
2.521,0.110,0.070,0.040,0
2.574,0.128,0.075,0.053,-5
2.784,0.341,0.072,0.269,-5
2.471,0.134,0.071,0.063,-5
2.030,0.106,0.071,0.035,0
2.780,0.160,0.072,0.088,0
2.822,0.114,0.069,0.045,0
2.347,0.095,0.070,0.025,0
2.813,0.148,0.069,0.079,0
2.273,0.092,0.071,0.021,0
2.799,0.103,0.069,0.034,0
2.669,0.108,0.069,0.039,0
2.358,0.109,0.070,0.039,0
2.919,0.105,0.069,0.036,0
2.125,0.100,0.069,0.031,0
2.337,0.105,0.069,0.036,0
2.137,0.109,0.069,0.040,0
2.638,0.094,0.069,0.025,0
2.693,0.112,0.071,0.041,0
1.926,0.105,0.070,0.035,0
2.415,0.209,0.070,0.139,0
2.862,0.112,0.069,0.043,0
2.331,0.145,0.070,0.075,-5
2.252,0.098,0.069,0.029,0
3.169,0.176,0.070,0.106,0
2.706,0.102,0.069,0.033,0
2.349,0.113,0.070,0.043,0
1.967,0.223,0.069,0.154,-5
2.662,0.101,0.070,0.031,0
2.904,0.688,0.069,0.619,-5
1.907,0.097,0.070,0.027,0
2.860,0.102,0.069,0.033,0
2.254,0.096,0.069,0.027,0
2.524,0.098,0.069,0.029,0
5.197,0.737,0.070,0.667,-5
2.034,0.109,0.070,0.039,0
2.362,0.181,0.070,0.111,-5
2.401,0.098,0.070,0.028,0
1.010,0.101,0.069,0.032,0
3.061,0.443,0.070,0.373,0
2.656,0.108,0.075,0.033,0
2.590,0.150,0.077,0.073,0
2.994,0.325,0.078,0.247,0
1.267,0.134,0.072,0.062,0
2.277,0.307,0.075,0.232,-5
1.592,0.102,0.071,0.031,0
2.648,0.102,0.070,0.032,0
2.709,0.184,0.070,0.114,-5
2.553,0.109,0.076,0.033,0
2.574,0.108,0.074,0.034,0
2.679,0.223,0.070,0.153,0
2.132,0.123,0.071,0.052,-5
2.600,0.112,0.070,0.042,0
2.693,0.109,0.073,0.036,0
2.337,0.133,0.076,0.057,0
2.958,0.140,0.070,0.070,-5
2.267,0.109,0.070,0.039,0
2.389,0.108,0.072,0.036,0
1.870,0.115,0.073,0.042,0
5.253,0.451,0.069,0.382,-5
1.812,0.103,0.070,0.033,0
2.707,0.154,0.069,0.085,-5
2.536,0.112,0.069,0.043,0
2.792,0.109,0.069,0.040,0
2.894,0.107,0.069,0.038,0
2.889,0.135,0.072,0.063,0
2.876,0.126,0.074,0.052,0
2.216,0.151,0.081,0.070,0
2.393,0.125,0.075,0.050,0
2.722,0.120,0.074,0.046,0
5.818,0.694,0.076,0.618,-5
2.210,0.130,0.074,0.056,0
5.906,0.168,0.074,0.094,-5
2.781,0.353,0.075,0.278,-5
1.535,0.112,0.070,0.042,0
2.916,0.104,0.071,0.033,0
2.966,0.120,0.070,0.050,0
2.357,0.103,0.071,0.032,0
2.651,0.256,0.069,0.187,0
2.586,0.109,0.070,0.039,0
2.108,0.116,0.070,0.046,0
2.214,0.099,0.070,0.029,0
2.697,0.101,0.070,0.031,0
1.756,0.331,0.071,0.260,-5
1.433,0.097,0.070,0.027,0
2.397,0.098,0.069,0.029,0
5.111,0.763,0.069,0.694,-5
2.694,0.131,0.077,0.054,0
2.293,0.105,0.073,0.032,0
2.578,0.108,0.072,0.036,0
1.829,0.118,0.073,0.045,0
2.020,0.116,0.074,0.042,0
2.829,0.119,0.071,0.048,0
2.225,0.107,0.072,0.035,0
2.703,0.107,0.072,0.035,0
2.671,0.110,0.073,0.037,0
2.946,0.121,0.073,0.048,0
2.203,0.105,0.071,0.034,0
2.623,0.108,0.074,0.034,0
2.064,0.142,0.070,0.072,-5
2.772,0.104,0.070,0.034,0
2.712,0.170,0.070,0.100,-5
2.253,0.097,0.068,0.029,0
2.169,0.111,0.068,0.043,0
2.896,0.112,0.069,0.043,0
2.703,0.137,0.069,0.068,-5
2.790,0.109,0.073,0.036,0
2.240,0.098,0.072,0.026,0
2.595,0.105,0.071,0.034,0
2.777,0.105,0.071,0.034,0
2.237,0.097,0.072,0.025,0
1.758,0.109,0.070,0.039,0
2.851,0.151,0.071,0.080,0
2.767,0.115,0.070,0.045,0
2.856,0.115,0.070,0.045,0
2.250,0.117,0.073,0.044,0
2.194,0.096,0.069,0.027,0
2.620,0.102,0.070,0.032,0
2.800,0.112,0.069,0.043,0
2.134,0.095,0.072,0.023,0
2.435,0.095,0.072,0.023,0
5.383,0.286,0.072,0.214,-5
1.639,0.098,0.072,0.026,0
2.498,0.101,0.070,0.031,0
2.725,0.102,0.070,0.032,0
