T, time, status
2.833,0.140,0
2.774,0.088,0
2.556,0.121,-5
2.673,0.090,0
2.465,0.151,-5
2.350,0.137,-5
2.442,0.083,0
2.362,0.068,0
2.813,0.074,0
2.655,0.080,0
1.808,0.074,0
2.432,0.105,0
2.724,0.080,0
2.252,0.063,0
1.468,0.094,-5
3.078,0.083,0
2.100,0.075,0
2.606,0.078,0
2.420,0.082,0
2.314,0.072,0
2.871,0.118,-5
2.715,0.103,-5
2.521,0.068,0
2.888,0.067,0
2.781,0.084,0
2.229,0.103,0
1.844,0.060,0
2.194,0.157,0
2.447,0.200,-5
1.951,0.189,-5
2.312,0.300,0
2.211,0.057,0
1.808,0.074,0
2.836,0.143,-5
1.397,0.061,0
2.684,0.101,-5
2.245,0.058,0
2.952,0.422,-5
2.990,0.084,0
2.239,0.105,0
2.366,0.048,0
2.311,0.071,0
2.818,0.185,0
2.413,0.063,0
2.901,0.085,0
2.639,0.119,-5
2.776,0.106,-5
2.569,0.185,-5
2.616,0.093,0
2.538,0.089,0
3.003,0.460,-5
2.252,0.081,0
2.137,0.093,0
2.604,0.077,0
2.721,0.133,-5
2.745,0.139,0
2.984,0.644,-5
2.301,0.135,-5
2.848,0.739,-5
2.040,0.073,0
2.199,0.260,0
1.613,0.071,0
2.716,0.121,0
2.820,0.091,0
2.591,0.124,-5
2.812,0.151,0
2.124,0.059,0
2.665,0.340,-5
2.815,0.093,0
2.385,0.112,0
1.870,0.074,0
2.266,0.130,-5
2.286,0.085,0
2.264,0.075,0
2.642,0.070,0
2.692,0.067,0
2.999,0.150,-5
2.271,0.078,0
2.742,0.085,0
2.478,0.171,0
2.264,0.092,0
2.233,0.065,0
2.447,0.078,0
2.864,0.085,0
1.805,0.065,0
1.977,0.096,0
2.460,0.097,0
2.266,0.077,0
3.018,0.187,0
2.804,0.085,0
2.618,0.098,0
2.653,0.102,0
2.608,0.089,0
2.840,0.353,-5
2.314,0.060,0
2.411,0.119,0
2.393,0.074,0
2.749,0.088,0
2.499,0.093,0
2.782,0.173,0
2.697,0.226,-5
2.583,0.075,0
2.458,0.111,-5
2.882,0.129,-5
2.248,0.060,0
2.733,0.094,-5
2.321,0.083,0
2.189,0.115,-5
2.222,0.090,0
2.346,0.127,-5
2.981,0.076,0
2.870,0.087,0
2.783,0.121,0
2.694,0.103,0
1.846,0.318,0
2.884,0.092,0
2.701,0.287,0
2.424,0.057,0
3.062,0.085,0
2.334,0.097,0
2.342,0.068,0
2.218,0.066,0
2.469,0.126,0
2.661,0.097,0
1.995,0.072,0
2.716,0.074,0
2.607,0.058,0
2.325,0.044,0
2.240,0.103,0
2.528,0.144,0
1.846,0.070,0
2.877,0.073,0
2.325,0.063,0
2.391,0.074,0
2.938,0.644,-5
2.839,0.188,-5
2.730,0.169,-5
2.755,0.154,-5
2.885,0.070,0
2.375,0.073,0
2.586,0.086,0
2.453,0.070,0
2.472,0.104,-5
2.185,0.124,-5
2.622,0.080,0
2.097,0.123,0
2.037,0.063,0
2.530,0.055,0
2.811,0.146,-5
2.740,0.081,0
2.932,0.103,-5
2.379,0.094,0
1.788,0.108,0
2.783,0.089,0
2.317,0.076,0
2.908,0.131,-5
2.487,0.249,-5
2.249,0.166,0
2.010,0.148,0
2.447,0.146,0
2.462,0.100,0
2.366,0.065,0
1.832,0.064,0
2.475,0.110,0
2.845,0.164,-5
2.020,0.090,0
2.476,0.054,0
2.339,0.164,0
2.638,0.102,0
2.372,0.073,0
2.686,1.006,-5
1.990,0.297,0
1.952,0.220,-5
2.888,0.164,0
2.534,0.062,0
2.687,0.095,0
2.002,0.141,-5
2.204,0.074,0
2.559,0.073,0
2.121,0.074,0
2.241,0.063,0
2.266,0.049,0
2.272,0.093,0
2.253,0.086,0
2.712,0.071,0
2.862,0.138,0
2.929,0.103,0
1.989,0.086,0
2.330,0.084,0
2.183,0.129,-5
2.712,0.116,0
2.383,0.086,0
2.736,0.232,-5
2.677,0.159,-5
2.085,0.102,0
2.375,0.578,-5
2.207,0.063,0
2.471,0.072,0
2.362,0.098,0
2.993,0.082,0
2.050,0.080,0
0.994,0.073,0
2.009,0.065,0
2.847,0.111,-5
2.375,0.065,0
2.321,0.090,0
2.814,0.084,0
2.643,0.155,0
2.832,0.070,0
2.639,0.194,0
2.492,0.087,0
2.309,0.075,0
2.764,0.243,-5
2.739,0.073,0
2.332,0.091,0
2.514,0.228,-5
2.734,0.067,0
2.678,0.067,0
2.135,0.081,0
1.741,0.068,0
2.621,0.074,0
2.582,0.217,-5
2.654,0.184,0
2.330,0.102,0
2.708,0.178,-5
2.536,0.060,0
2.655,0.140,-5
2.649,0.098,0
2.289,0.068,0
2.949,0.115,-5
2.191,0.071,0
2.864,0.140,-5
2.772,0.129,0
2.905,0.197,-5
2.434,0.086,0
2.615,0.245,-5
2.792,0.084,0
2.360,0.160,-5
2.304,0.062,0
2.405,0.065,0
2.417,0.065,0
2.537,0.080,0
2.587,0.088,0
2.556,0.087,0
2.943,0.222,-5
2.522,0.063,0
2.785,0.075,0
2.467,0.147,0
2.858,0.183,-5
2.443,0.241,-5
2.279,0.107,-5
2.570,0.109,-5
1.820,0.055,0
2.870,0.103,0
2.678,0.143,0
2.141,0.061,0
2.669,0.078,0
2.765,0.076,0
2.500,0.071,0
2.562,0.075,0
2.900,0.151,0
2.697,0.084,0
2.262,0.097,0
2.556,0.063,0
2.834,0.115,-5
2.891,0.220,-5
2.711,0.141,0
2.554,0.080,0
2.887,0.098,0
2.316,0.065,0
2.949,0.150,-5
2.721,0.112,0
1.880,0.095,0
2.388,0.081,0
2.898,0.152,-5
2.696,0.178,0
2.546,0.126,-5
2.336,0.138,-5
2.968,0.110,0
2.198,0.079,0
2.827,0.156,0
2.385,0.138,0
2.735,0.084,0
2.904,0.099,0
2.141,0.064,0
2.863,0.147,-5
1.928,0.079,0
2.522,0.066,0
2.654,0.080,0
2.671,0.073,0
2.314,0.100,0
2.546,0.074,0
2.347,0.196,-5
3.007,0.072,0
1.619,0.084,0
2.574,0.077,0
2.672,0.084,0
2.755,0.111,0
2.668,0.073,0
1.734,0.079,0
2.629,0.096,0
2.846,0.108,0
2.938,0.095,0
2.956,0.261,-5
2.649,0.070,0
1.946,0.103,-5
2.940,0.149,0
1.461,0.082,0
1.981,0.064,0
1.565,0.080,0
2.409,0.069,0
3.002,0.109,0
2.202,0.071,0
1.474,0.088,0
1.992,0.269,0
2.417,0.064,0
1.858,0.096,0
2.416,0.118,-5
2.515,0.123,-5
2.903,0.079,0
2.454,0.110,0
2.328,0.071,0
2.907,0.209,0
2.958,0.739,-5
2.513,0.070,0
2.517,0.234,0
2.526,0.061,0
2.554,0.061,0
2.707,0.121,0
2.267,0.090,0
2.698,0.059,0
2.873,0.121,-5
2.767,0.136,-5
2.310,0.108,0
2.181,0.097,0
2.497,0.074,0
2.055,0.070,0
2.790,0.456,-5
2.917,0.084,0
2.376,0.061,0
2.369,0.069,0
2.136,0.097,0
2.345,0.059,0
2.239,0.071,0
1.837,0.064,0
2.764,0.106,0
2.738,0.196,0
2.621,0.093,0
2.635,0.448,-5
2.793,0.268,0
2.457,0.139,0
2.356,0.072,0
2.340,0.114,0
2.213,0.094,0
2.365,0.080,0
2.340,0.081,0
2.223,0.094,0
2.364,0.057,0
2.710,0.075,0
2.390,0.086,0
1.334,0.079,0
2.194,0.095,0
2.798,0.058,0
2.003,0.073,0
2.158,0.068,0
2.255,0.148,-5
2.447,0.080,0
2.564,0.070,0
2.177,0.124,-5
2.489,0.155,0
2.798,0.077,0
1.642,0.073,0
2.045,0.100,0
2.844,0.079,0
2.647,0.095,0
2.491,0.089,0
1.677,0.179,-5
2.342,0.058,0
2.295,0.099,0
2.401,0.068,0
2.903,0.206,0
2.464,0.071,0
2.659,0.097,0
2.754,0.119,-5
2.798,0.179,0
2.501,0.205,-5
2.782,0.102,-5
2.289,0.074,0
2.666,0.097,0
2.267,0.077,0
3.012,0.266,-5
1.711,0.065,0
2.353,0.068,0
2.198,0.096,0
1.712,0.061,0
2.694,0.084,0
2.893,0.105,0
2.469,0.092,0
2.711,0.156,0
1.924,0.078,0
2.215,0.058,0
2.107,0.128,-5
2.374,0.113,-5
2.240,0.069,0
2.210,0.132,-5
2.374,0.102,0
1.923,0.076,0
2.525,0.064,0
2.876,0.700,-5
2.309,0.071,0
2.327,0.079,0
2.373,0.090,0
2.151,0.073,0
2.520,0.069,0
1.230,0.095,0
2.192,0.068,0
1.898,0.110,-5
2.507,0.115,-5
2.957,0.219,0
2.918,0.113,-5
2.732,0.073,0
2.008,0.097,0
2.718,0.090,0
2.945,0.112,0
2.411,0.117,-5
2.430,0.098,0
2.260,0.088,0
1.606,0.061,0
2.416,0.078,0
2.867,0.102,0
2.318,0.074,0
2.856,0.136,-5
