T, time, status
2.839,0.099,0
2.925,0.139,-5
2.698,0.083,0
2.727,0.147,0
2.219,0.098,0
1.828,0.082,0
2.821,0.244,0
2.085,0.083,0
2.864,0.269,0
2.779,0.259,0
2.477,0.281,0
2.411,0.126,0
2.328,0.145,-5
3.076,0.225,0
2.355,0.167,0
2.217,0.096,0
2.680,0.125,0
2.338,0.132,0
2.809,0.402,-5
2.744,0.133,0
2.740,0.125,-5
2.743,0.095,0
2.709,0.098,0
2.483,0.103,0
2.480,0.077,0
2.333,0.116,-5
2.377,0.076,0
2.413,0.182,0
2.291,0.540,0
2.278,0.102,0
2.934,0.165,0
2.517,0.193,0
2.469,0.078,0
2.593,0.177,0
2.378,0.308,-5
2.179,0.098,0
2.566,0.126,0
2.304,0.146,-5
2.640,0.228,-5
2.260,0.107,0
2.725,0.087,0
2.274,0.077,0
2.605,0.327,-5
2.799,0.181,0
2.729,0.219,-5
2.187,0.162,-5
2.203,0.137,0
1.489,0.132,0
2.689,0.176,-5
2.422,0.056,0
1.571,0.101,0
2.769,0.214,-5
2.749,0.201,0
2.272,0.132,-5
2.855,1.065,-5
2.161,0.160,0
2.215,0.209,0
2.807,0.097,0
2.703,0.117,0
1.963,0.197,0
2.751,0.079,0
2.739,0.076,0
2.563,0.118,-5
2.644,0.124,0
2.665,0.192,-5
2.628,0.178,0
3.036,0.176,-5
2.803,0.528,-5
1.810,0.087,0
2.587,0.084,0
2.829,0.135,-5
2.114,0.083,0
2.220,0.127,-5
2.607,0.102,0
2.414,0.113,0
2.619,0.101,0
2.059,0.084,0
2.978,0.125,-5
2.590,0.126,-5
2.414,0.135,-5
2.799,0.101,0
2.899,0.085,0
1.479,0.105,0
2.310,0.114,0
2.248,0.149,-5
2.273,0.059,0
2.103,0.090,0
2.809,0.556,-5
2.422,0.113,-5
2.768,0.148,-5
3.115,0.097,0
2.831,0.179,-5
2.837,0.673,-5
2.345,0.130,0
2.163,0.113,0
2.048,0.085,0
2.888,0.134,0
2.434,0.131,0
2.636,0.192,-5
2.820,0.140,0
1.981,0.078,0
2.258,0.074,0
2.731,0.137,-5
2.631,0.093,0
2.486,0.085,0
2.661,0.082,0
2.387,0.093,0
1.490,0.088,0
2.670,0.091,0
1.860,0.088,0
2.508,0.079,0
2.874,0.579,-5
2.918,0.119,0
2.795,0.142,-5
2.561,0.104,0
2.725,0.076,0
2.249,0.088,0
1.980,0.085,0
2.249,0.070,0
2.704,0.106,0
2.947,0.674,-5
2.787,0.096,0
2.647,0.104,0
2.733,0.153,-5
2.254,0.088,0
2.862,0.083,0
2.786,0.251,-5
2.682,0.133,0
2.213,0.102,0
2.444,0.120,0
2.513,0.186,0
2.818,0.097,0
2.195,0.171,-5
2.590,0.178,0
2.268,0.097,0
2.172,0.479,-5
2.218,0.059,0
2.962,0.175,0
2.412,0.104,0
2.545,0.111,0
2.836,0.813,-5
2.928,0.648,-5
2.832,0.095,0
2.561,0.147,-5
1.851,0.146,-5
2.199,0.089,0
2.145,0.085,0
2.688,0.113,0
2.897,0.155,-5
2.469,0.075,0
2.901,0.148,0
2.101,0.135,-5
2.690,0.144,-5
2.479,0.092,0
2.185,0.101,0
2.069,0.101,0
2.896,0.153,-5
2.637,0.169,0
2.290,0.118,0
2.801,0.124,0
2.398,0.118,0
2.139,0.120,0
2.649,0.115,0
2.031,0.318,-5
2.488,0.153,-5
2.867,0.091,0
2.084,0.125,0
2.676,0.123,0
1.920,0.066,0
2.326,0.143,0
1.770,0.084,0
2.323,0.048,0
2.046,0.121,0
2.822,0.152,0
2.883,0.118,0
2.307,0.225,0
2.765,0.665,-5
2.843,0.104,0
2.713,0.092,0
2.280,0.047,0
2.311,0.113,0
