T, time, time_on_pso, time_on_solver, status
3.032,0.275,0.085,0.190,-5
2.552,0.120,0.089,0.031,0
2.348,0.113,0.087,0.026,0
2.674,0.258,0.082,0.176,0
1.880,0.122,0.088,0.034,0
2.174,0.120,0.087,0.033,0
2.608,0.208,0.086,0.122,0
3.118,0.244,0.083,0.161,-5
1.901,0.113,0.083,0.030,0
2.846,0.105,0.083,0.022,0
2.782,0.121,0.083,0.038,0
2.493,0.109,0.083,0.026,0
2.469,0.132,0.082,0.050,0
2.329,0.101,0.083,0.018,0
2.744,0.103,0.081,0.022,0
2.901,0.121,0.082,0.039,0
2.210,0.105,0.084,0.021,0
2.502,0.112,0.083,0.029,0
2.501,0.226,0.083,0.143,-5
1.665,0.115,0.082,0.033,0
2.132,0.110,0.083,0.027,0
2.778,0.144,0.081,0.063,-5
2.820,0.109,0.082,0.027,0
2.411,0.110,0.081,0.029,0
1.104,0.115,0.084,0.031,0
2.273,0.109,0.082,0.027,0
2.452,0.118,0.082,0.036,0
2.135,0.142,0.082,0.060,0
2.795,0.132,0.082,0.050,0
2.900,0.133,0.092,0.041,0
1.908,0.149,0.094,0.055,0
2.614,0.118,0.087,0.031,0
2.445,0.152,0.086,0.066,0
2.520,0.114,0.087,0.027,0
2.487,0.132,0.088,0.044,0
2.875,0.212,0.089,0.123,-5
1.403,0.281,0.084,0.197,-5
2.637,0.106,0.083,0.023,0
2.442,0.110,0.082,0.028,0
2.772,0.108,0.082,0.026,0
1.638,0.114,0.082,0.032,0
2.701,0.105,0.082,0.023,0
2.921,0.281,0.082,0.199,-5
1.641,0.153,0.084,0.069,0
2.521,0.128,0.088,0.040,0
2.574,0.195,0.088,0.107,-5
2.784,0.385,0.092,0.293,-5
2.471,0.153,0.086,0.067,-5
2.030,0.115,0.086,0.029,0
2.780,0.145,0.087,0.058,0
2.822,0.144,0.092,0.052,0
2.347,0.141,0.092,0.049,0
2.813,0.179,0.086,0.093,-5
2.273,0.114,0.087,0.027,0
2.799,0.150,0.087,0.063,0
2.669,0.144,0.091,0.053,0
2.358,0.110,0.083,0.027,0
2.919,0.120,0.084,0.036,0
2.125,0.111,0.083,0.028,0
2.337,0.120,0.085,0.035,0
2.137,0.128,0.088,0.040,0
2.638,0.168,0.088,0.080,0
2.693,0.109,0.082,0.027,0
1.926,0.124,0.086,0.038,0
2.415,0.280,0.083,0.197,-5
2.862,0.434,0.084,0.350,0
2.331,0.300,0.090,0.210,-5
2.252,0.126,0.085,0.041,0
3.169,0.141,0.082,0.059,0
2.706,0.203,0.088,0.115,0
2.349,0.201,0.091,0.110,0
1.967,0.344,0.090,0.254,0
2.662,0.176,0.085,0.091,0
2.904,0.403,0.097,0.306,-5
1.907,0.184,0.091,0.093,0
2.860,0.123,0.087,0.036,0
2.254,0.160,0.089,0.071,0
2.524,0.116,0.084,0.032,0
2.768,0.143,0.088,0.055,0
2.034,0.114,0.084,0.030,0
2.362,0.193,0.090,0.103,-5
2.401,0.179,0.086,0.093,0
1.010,0.117,0.085,0.032,0
3.061,0.285,0.083,0.202,-5
2.656,0.170,0.087,0.083,0
2.590,0.116,0.082,0.034,0
2.994,0.160,0.087,0.073,0
1.267,0.128,0.084,0.044,0
2.277,0.311,0.087,0.224,-5
1.592,0.122,0.090,0.032,0
2.648,0.134,0.083,0.051,0
2.709,0.166,0.085,0.081,-5
2.553,0.142,0.089,0.053,0
2.574,0.120,0.090,0.030,0
2.679,0.212,0.081,0.131,-5
2.132,0.240,0.081,0.159,0
2.600,0.135,0.096,0.039,0
2.693,0.131,0.091,0.040,0
2.337,0.139,0.092,0.047,0
2.958,0.318,0.095,0.223,0
2.267,0.299,0.100,0.199,0
2.389,0.123,0.086,0.037,0
1.870,0.134,0.090,0.044,0
2.846,0.126,0.088,0.038,0
1.812,0.147,0.085,0.062,0
2.707,0.172,0.087,0.085,-5
2.536,0.115,0.087,0.028,0
2.792,0.117,0.087,0.030,0
2.894,0.112,0.086,0.026,0
2.889,0.116,0.085,0.031,0
2.876,0.128,0.091,0.037,0
2.216,0.120,0.087,0.033,0
2.393,0.128,0.085,0.043,0
2.722,0.124,0.087,0.037,0
2.917,0.137,0.092,0.045,0
2.210,0.200,0.092,0.108,0
2.954,0.134,0.087,0.047,0
2.781,0.350,0.088,0.262,-5
1.535,0.126,0.087,0.039,0
2.916,0.115,0.086,0.029,0
2.966,0.140,0.086,0.054,0
2.357,0.117,0.085,0.032,0
2.651,0.143,0.086,0.057,-5
2.586,0.117,0.085,0.032,0
2.108,0.234,0.085,0.149,0
2.214,0.110,0.085,0.025,0
2.697,0.110,0.086,0.024,0
1.756,0.354,0.084,0.270,-5
1.433,0.137,0.100,0.037,0
2.397,0.154,0.099,0.055,0
2.917,0.181,0.091,0.090,0
2.694,0.193,0.098,0.095,0
2.293,0.105,0.082,0.023,0
2.578,0.119,0.084,0.035,0
1.829,0.147,0.083,0.064,0
2.020,0.247,0.096,0.151,0
2.829,0.205,0.094,0.111,0
2.225,0.114,0.084,0.030,0
2.703,0.202,0.089,0.113,0
2.671,0.148,0.092,0.056,0
2.946,0.526,0.093,0.433,-5
2.203,0.152,0.087,0.065,0
2.623,0.128,0.092,0.036,0
2.064,0.304,0.085,0.219,-5
2.772,0.124,0.085,0.039,0
2.712,0.197,0.089,0.108,0
2.253,0.109,0.087,0.022,0
2.169,0.108,0.082,0.026,0
2.896,0.136,0.082,0.054,0
2.703,0.172,0.083,0.089,-5
2.790,0.134,0.086,0.048,0
2.240,0.124,0.087,0.037,0
2.595,0.129,0.087,0.042,0
2.777,0.229,0.090,0.139,0
2.237,0.183,0.095,0.088,0
1.758,0.188,0.090,0.098,0
2.851,0.121,0.087,0.034,0
2.767,0.116,0.085,0.031,0
2.856,0.112,0.084,0.028,0
2.250,0.114,0.084,0.030,0
2.194,0.116,0.084,0.032,0
2.620,0.114,0.085,0.029,0
2.800,0.133,0.084,0.049,0
2.134,0.125,0.084,0.041,0
2.435,0.127,0.088,0.039,0
2.943,0.131,0.089,0.042,0
1.639,0.131,0.090,0.041,0
2.498,0.339,0.089,0.250,-5
2.725,0.120,0.086,0.034,0
2.899,0.161,0.085,0.076,0
