T, time, time_on_pso, time_on_solver, status
3.812,1.246,0.074,1.172,-5
3.481,1.104,0.070,1.034,-5
3.136,1.037,0.077,0.960,-5
3.508,0.170,0.070,0.100,0
3.212,0.113,0.069,0.044,0
3.347,0.909,0.070,0.839,-5
4.108,1.281,0.070,1.211,-5
4.004,0.929,0.075,0.854,-5
3.812,0.965,0.069,0.896,-5
3.133,0.889,0.069,0.820,-5
3.176,1.221,0.073,1.148,-5
3.069,1.117,0.072,1.045,-5
3.395,0.122,0.071,0.051,0
7.325,0.165,0.075,0.090,-5
3.973,1.676,0.077,1.599,-5
3.290,0.145,0.071,0.074,0
3.996,0.158,0.074,0.084,0
4.195,0.960,0.077,0.883,-5
4.155,1.112,0.073,1.039,-5
2.983,0.114,0.072,0.042,0
1.851,0.106,0.070,0.036,0
3.629,0.877,0.070,0.807,-5
4.176,0.954,0.070,0.884,-5
3.946,0.918,0.068,0.850,-5
3.254,0.895,0.068,0.827,-5
4.156,1.348,0.067,1.281,-5
3.635,0.103,0.068,0.035,0
3.166,0.117,0.067,0.050,0
2.178,0.218,0.068,0.150,0
3.281,0.208,0.069,0.139,-5
3.676,0.941,0.067,0.874,-5
3.031,0.122,0.071,0.051,0
2.206,0.119,0.074,0.045,0
4.050,0.873,0.071,0.802,-5
3.282,1.025,0.071,0.954,-5
3.960,0.981,0.071,0.910,-5
2.171,0.115,0.071,0.044,0
3.829,1.130,0.072,1.058,-5
3.372,1.033,0.070,0.963,-5
1.938,0.127,0.077,0.050,0
2.947,0.936,0.071,0.865,-5
7.419,0.968,0.069,0.899,-5
6.398,0.558,0.071,0.487,-5
3.377,0.511,0.072,0.439,0
3.078,1.039,0.073,0.966,-5
4.402,1.038,0.070,0.968,-5
2.807,0.373,0.070,0.303,-5
3.588,1.006,0.073,0.933,-5
2.892,0.133,0.075,0.058,0
4.140,1.168,0.073,1.095,-5
3.187,1.467,0.069,1.398,-5
3.120,0.760,0.072,0.688,-5
3.965,1.244,0.069,1.175,-5
1.495,0.132,0.070,0.062,0
3.715,1.089,0.069,1.020,-5
2.939,0.116,0.071,0.045,0
3.413,0.584,0.077,0.507,-5
4.055,0.193,0.074,0.119,-5
3.612,0.944,0.077,0.867,-5
3.025,0.116,0.075,0.041,0
2.828,0.428,0.069,0.359,-5
3.433,0.157,0.073,0.084,0
7.384,1.013,0.069,0.944,-5
3.271,0.118,0.070,0.048,0
7.173,0.609,0.069,0.540,-5
3.202,0.130,0.071,0.059,0
4.204,0.857,0.071,0.786,-5
3.015,1.490,0.070,1.420,-5
2.679,1.349,0.080,1.269,-5
3.276,0.503,0.071,0.432,-5
2.339,0.197,0.070,0.127,0
2.896,0.423,0.082,0.341,0
3.153,1.634,0.084,1.550,-5
3.296,0.981,0.077,0.904,-5
3.205,1.000,0.078,0.922,-5
3.625,0.365,0.070,0.295,-5
3.479,0.163,0.075,0.088,-5
7.130,1.034,0.073,0.961,-5
2.953,0.113,0.070,0.043,0
3.217,0.112,0.070,0.042,0
3.297,1.318,0.070,1.248,-5
3.085,1.455,0.074,1.381,-5
2.722,0.298,0.084,0.214,0
3.199,0.126,0.074,0.052,0
3.553,0.225,0.075,0.150,0
2.584,0.140,0.073,0.067,0
3.320,0.922,0.076,0.846,-5
3.209,0.910,0.072,0.838,-5
2.935,1.047,0.074,0.973,-5
3.443,0.123,0.074,0.049,0
3.017,0.126,0.075,0.051,0
3.194,0.385,0.072,0.313,-5
2.537,0.147,0.077,0.070,0
3.001,0.526,0.078,0.448,-5
3.463,1.048,0.077,0.971,-5
3.478,1.408,0.074,1.334,-5
3.821,1.179,0.077,1.102,-5
3.025,0.175,0.086,0.089,0
2.763,0.157,0.080,0.077,0
3.510,1.432,0.076,1.356,-5
4.260,0.403,0.074,0.329,-5
3.936,0.958,0.073,0.885,-5
2.676,1.118,0.072,1.046,-5
2.966,0.910,0.073,0.837,-5
3.423,1.134,0.077,1.057,-5
2.825,0.205,0.074,0.131,0
3.245,0.114,0.073,0.041,0
3.835,0.743,0.072,0.671,-5
3.867,1.081,0.082,0.999,-5
2.129,0.198,0.076,0.122,-5
