T, time, time_on_pso, time_on_solver, status
3.497,1.425,0.083,1.342,-5
2.909,1.186,0.090,1.096,-5
3.119,0.907,0.083,0.824,-5
3.774,0.145,0.081,0.064,-5
4.300,0.916,0.080,0.836,-5
3.747,1.029,0.084,0.945,-5
2.470,0.121,0.082,0.039,0
4.236,0.991,0.080,0.911,-5
3.756,0.139,0.079,0.060,0
2.349,0.110,0.080,0.030,0
3.601,0.120,0.078,0.042,0
3.327,1.169,0.077,1.092,-5
2.706,0.129,0.081,0.048,0
4.289,0.915,0.082,0.833,-5
3.435,0.955,0.080,0.875,-5
3.714,0.923,0.078,0.845,-5
4.066,0.114,0.084,0.030,0
3.587,0.160,0.083,0.077,-5
3.984,1.299,0.078,1.221,-5
4.171,1.905,0.087,1.818,-5
2.698,0.141,0.080,0.061,0
3.291,1.296,0.094,1.202,-5
4.193,1.296,0.079,1.217,-5
4.077,0.897,0.080,0.817,-5
3.171,0.110,0.078,0.032,0
3.581,1.012,0.077,0.935,-5
3.847,1.543,0.080,1.463,-5
3.474,0.136,0.080,0.056,0
2.969,0.335,0.081,0.254,0
3.423,0.402,0.078,0.324,-5
3.849,0.984,0.093,0.891,-5
3.730,1.270,0.082,1.188,-5
3.307,0.450,0.079,0.371,-5
2.815,0.129,0.078,0.051,0
3.389,0.112,0.077,0.035,-5
3.425,0.846,0.077,0.769,-5
3.933,1.036,0.078,0.958,-5
2.839,0.936,0.079,0.857,-5
3.393,0.122,0.082,0.040,0
2.414,0.116,0.077,0.039,0
1.956,0.110,0.077,0.033,0
3.203,1.052,0.077,0.975,-5
4.202,0.933,0.083,0.850,-5
3.475,1.119,0.077,1.042,-5
3.186,0.193,0.084,0.109,-5
3.571,0.185,0.084,0.101,0
3.682,1.547,0.093,1.454,-5
3.785,0.960,0.090,0.870,-5
3.481,1.018,0.078,0.940,-5
3.136,1.019,0.078,0.941,-5
3.508,0.930,0.080,0.850,-5
3.212,0.306,0.096,0.210,0
3.347,0.255,0.100,0.155,-5
4.108,1.288,0.093,1.195,-5
3.971,1.478,0.081,1.397,-5
3.810,1.149,0.082,1.067,-5
3.133,1.708,0.084,1.624,-5
3.176,1.384,0.081,1.303,-5
3.069,1.917,0.077,1.840,-5
3.395,1.282,0.081,1.201,-5
3.097,0.730,0.084,0.646,-5
3.973,1.195,0.083,1.112,-5
3.290,0.182,0.078,0.104,0
3.996,0.126,0.086,0.040,0
4.188,0.735,0.080,0.655,-5
3.886,0.128,0.078,0.050,-5
2.983,0.115,0.078,0.037,0
1.851,0.113,0.077,0.036,0
3.629,1.176,0.082,1.094,-5
4.133,1.045,0.083,0.962,-5
3.946,1.092,0.078,1.014,-5
3.254,0.118,0.078,0.040,-5
4.016,0.117,0.078,0.039,-5
4.317,1.471,0.084,1.387,-5
3.166,0.114,0.080,0.034,0
2.178,0.202,0.086,0.116,0
3.281,0.136,0.079,0.057,0
3.677,0.153,0.081,0.072,-5
3.031,2.067,0.083,1.984,-5
2.206,0.224,0.085,0.139,-5
4.004,1.674,0.086,1.588,-5
3.282,1.770,0.088,1.682,-5
3.961,1.579,0.085,1.494,-5
2.171,0.160,0.085,0.075,0
3.781,1.667,0.082,1.585,-5
3.372,0.973,0.093,0.880,-5
1.938,0.123,0.084,0.039,0
2.947,1.238,0.082,1.156,-5
3.769,1.418,0.079,1.339,-5
3.002,0.131,0.080,0.051,0
3.377,0.992,0.079,0.913,-5
3.078,0.976,0.090,0.886,-5
4.402,0.126,0.081,0.045,0
2.807,0.420,0.081,0.339,-5
3.588,0.829,0.082,0.747,-5
2.892,0.112,0.079,0.033,0
3.778,0.104,0.079,0.025,0
3.187,0.210,0.079,0.131,0
3.120,0.229,0.081,0.148,0
3.965,2.206,0.097,2.109,-5
1.495,0.157,0.087,0.070,0
3.715,1.102,0.087,1.015,-5
2.939,1.311,0.088,1.223,-5
3.414,0.181,0.098,0.083,-5
4.055,0.170,0.086,0.084,-5
3.612,0.428,0.084,0.344,-5
3.025,0.165,0.099,0.066,0
2.828,0.590,0.097,0.493,-5
3.433,1.604,0.085,1.519,-5
3.342,0.145,0.083,0.062,-5
3.271,0.137,0.084,0.053,0
3.487,1.258,0.081,1.177,-5
3.196,0.173,0.089,0.084,0
4.204,1.486,0.089,1.397,-5
3.015,0.239,0.087,0.152,-5
2.679,1.166,0.091,1.075,-5
3.276,0.586,0.087,0.499,-5
2.339,0.127,0.083,0.044,0
2.896,0.282,0.083,0.199,0
3.153,1.261,0.086,1.175,-5
3.296,1.199,0.113,1.086,-5
3.205,0.130,0.084,0.046,0
3.625,0.392,0.085,0.307,-5
3.480,1.060,0.082,0.978,-5
3.442,0.117,0.081,0.036,0
2.953,0.181,0.082,0.099,0
2.985,0.129,0.083,0.046,0
3.297,0.919,0.083,0.836,-5
3.085,0.964,0.079,0.885,-5
2.722,0.249,0.081,0.168,0
3.199,0.154,0.083,0.071,0
3.553,0.858,0.082,0.776,-5
2.584,0.116,0.079,0.037,0
3.320,0.881,0.080,0.801,-5
3.209,0.122,0.079,0.043,-5
2.935,0.937,0.082,0.855,-5
3.443,0.122,0.081,0.041,0
3.017,0.119,0.081,0.038,0
3.194,0.291,0.080,0.211,-5
2.537,0.123,0.079,0.044,0
3.001,0.775,0.082,0.693,-5
3.463,0.952,0.084,0.868,-5
3.478,1.212,0.081,1.131,-5
3.819,0.974,0.079,0.895,-5
3.025,0.137,0.086,0.051,0
2.763,0.159,0.086,0.073,0
3.510,1.174,0.087,1.087,-5
4.260,0.135,0.080,0.055,-5
3.992,1.145,0.079,1.066,-5
2.676,0.175,0.088,0.087,0
2.966,0.928,0.084,0.844,-5
3.423,0.944,0.087,0.857,-5
2.832,0.485,0.084,0.401,-5
3.245,0.126,0.082,0.044,0
3.814,1.063,0.083,0.980,-5
3.868,0.975,0.082,0.893,-5
2.129,0.121,0.081,0.040,0
3.333,0.203,0.081,0.122,-5
3.349,0.140,0.082,0.058,-5
2.722,0.175,0.111,0.064,0
3.488,0.166,0.085,0.081,-5
4.598,1.429,0.087,1.342,-5
1.152,0.148,0.081,0.067,0
3.335,0.157,0.088,0.069,-5
3.595,1.046,0.085,0.961,-5
3.778,0.347,0.084,0.263,0
2.677,0.297,0.090,0.207,0
3.383,0.144,0.079,0.065,-5
3.339,1.164,0.084,1.080,-5
2.673,1.035,0.081,0.954,-5
3.549,1.163,0.083,1.080,-5
2.185,0.316,0.085,0.231,-5
3.768,1.045,0.083,0.962,-5
3.538,0.849,0.084,0.765,-5
3.776,0.919,0.083,0.836,-5
3.729,1.038,0.083,0.955,-5
4.105,1.134,0.085,1.049,-5
3.164,1.257,0.080,1.177,-5
4.068,1.043,0.081,0.962,-5
3.774,1.149,0.082,1.067,-5
2.720,0.281,0.079,0.202,0
4.095,0.779,0.085,0.694,-5
3.565,0.964,0.081,0.883,-5
2.582,0.271,0.079,0.192,0
2.747,0.112,0.082,0.030,0
3.534,0.221,0.082,0.139,-5
3.615,0.922,0.079,0.843,-5
3.871,0.942,0.079,0.863,-5
3.192,0.117,0.079,0.038,0
3.112,0.182,0.079,0.103,-5
2.631,0.140,0.079,0.061,0
3.234,0.878,0.079,0.799,-5
3.450,1.091,0.079,1.012,-5
4.365,1.043,0.080,0.963,-5
3.607,0.882,0.079,0.803,-5
