T, time, status
2.724,0.089,0
3.760,0.124,0
3.007,0.845,-5
3.087,1.314,-5
1.154,0.078,0
3.209,0.087,0
2.655,0.259,-5
3.346,0.096,0
3.101,0.097,0
3.455,0.072,0
3.073,0.928,-5
2.991,0.084,0
3.338,0.962,-5
3.477,0.955,-5
4.141,1.162,-5
2.983,0.999,-5
3.388,0.116,0
2.764,0.279,-5
2.883,1.084,-5
3.067,0.145,0
3.708,0.188,0
3.329,0.758,-5
3.255,0.738,-5
2.700,0.075,0
4.071,0.933,-5
3.809,0.598,0
3.029,0.109,0
2.812,0.130,0
4.249,0.207,-5
2.474,0.094,0
3.140,0.633,-5
3.424,1.699,-5
2.639,0.064,0
2.631,0.089,0
3.883,0.802,-5
2.999,0.849,-5
3.315,1.253,-5
4.017,0.786,-5
3.639,0.952,-5
2.265,0.283,-5
2.988,1.009,-5
3.090,0.796,-5
4.025,0.946,-5
3.363,0.731,-5
1.883,0.366,-5
2.620,0.152,0
3.159,0.086,0
4.142,0.771,-5
2.752,0.655,-5
3.993,1.303,-5
3.254,0.765,-5
3.488,0.781,-5
2.374,0.092,0
2.964,0.249,0
3.157,1.309,-5
3.605,0.177,0
3.794,0.632,-5
3.432,0.698,-5
3.459,0.129,0
3.634,0.964,-5
4.086,1.269,-5
2.926,0.873,-5
3.532,0.170,0
3.590,0.076,0
3.436,1.058,-5
3.193,0.209,-5
3.482,0.157,-5
3.255,0.817,-5
3.303,0.730,-5
3.368,0.067,0
3.125,0.110,0
3.619,0.591,-5
3.730,0.712,-5
4.622,0.771,-5
3.061,0.711,-5
5.019,0.674,-5
3.209,0.083,0
3.756,0.854,-5
2.735,0.093,0
4.011,0.095,0
3.139,0.080,0
3.361,0.094,0
3.034,0.077,0
3.413,0.097,-5
2.454,0.614,-5
2.949,0.776,-5
3.971,0.603,-5
3.067,0.766,-5
2.908,0.086,0
3.752,0.920,-5
2.572,0.065,0
4.297,0.967,-5
3.237,0.667,-5
4.129,0.840,-5
2.246,0.074,0
4.108,0.741,-5
3.969,0.081,0
3.821,0.803,-5
3.320,0.610,-5
2.336,0.079,0
3.149,0.077,0
3.965,0.617,-5
3.005,0.101,0
3.309,0.133,0
2.250,0.390,0
2.635,0.077,0
2.667,0.090,0
3.309,0.169,-5
3.579,0.714,0
3.300,0.075,-5
3.486,0.828,-5
4.270,0.124,0
3.719,0.101,-5
3.352,0.434,-5
2.831,0.644,-5
3.498,0.868,-5
4.086,0.209,-5
2.416,0.664,-5
4.644,0.828,-5
2.497,0.084,0
3.609,0.077,0
3.437,0.752,-5
3.564,0.480,0
3.365,0.063,0
3.139,0.953,-5
3.137,0.121,0
3.733,0.828,-5
3.175,0.806,-5
4.017,0.196,0
3.545,0.832,-5
2.732,0.072,0
3.261,0.906,-5
3.870,1.130,-5
3.362,0.210,-5
3.380,0.154,0
2.660,0.182,0
3.331,0.109,-5
3.664,0.074,0
2.716,0.070,0
